date,minimum bottom temperature
1968,4.1
1969,4.1
1970,4.0
1971,4.1
1972,4.1
1973,4.2
1974,4.4
1975,4.5
1976,4.2
1977,4.3
1978,4.2
1979,4.1
1980,4.4
1981,3.9
1982,4.1
1983,4.1
1984,4.1
1985,3.9
1986,3.78
1987,3.83
1988,4.0
1989,4.36
1990,4.5
1991,4.24
1992,4.1
1993,4.5
1994,4.5
1995,4.4
1996,4.4
1997,4.3
1998,4.5
1999,4.1
2000,4.5
2001,4.6
2002,4.7
2003,4.5
2004,4.4
2005,4.2
2006,3.7
2007,4.0
2008,4.3
2009,4.5
2010,4.2
2011,4.3
2012,4.0
2013,4.2
2014,4.3
2015,4.4
2016,4.6
2017,4.8
2018,4.55
2019,4.7
2020,4.8
2021,5.1
2022,5.2
2023,5.3
