date,mean autumn Schmidt stability
1967,9437.39
1968,8699.55
1969,8270.87
1970,6382.69
1971,7796.06
1972,6281.23
1973,6428.01
1974,5341.34
1975,7318.3
1976,7457.43
1977,6580.2
1978,5958.57
1979,7173.47
1980,8452.12
1981,8171.19
1982,6151.64
1983,8856.03
1984,7256.88
1985,9686.35
1986,7174.11
1987,6780.97
1988,7726.68
1989,8526.39
1990,7415.58
1991,7477.24
1992,8341.83
1993,7074.77
1994,8880.57
1995,7415.5
1996,7341.53
1997,8518.08
1998,7417.81
1999,7338.98
2000,7950.49
2001,9079.09
2002,7653.19
2003,4874.21
2004,8070.2
2005,8820.84
2006,9067.33
2007,11115.62
2008,7486.82
2009,10103.76
2010,8031.86
2011,10411.56
2012,9120.06
2013,8401.57
2014,11132.89
2015,7383.28
2016,9137.86
2017,8441.56
2018,8646.26
2019,9862.05
2020,9457.72
2021,9546.77
2022,10080.45
2023,11514.02
