date,mean autumn bottom oxygen concentration
1963,5.31
1964,4.44
1965,5.33
1966,5.04
1967,6.2
1968,6.85
1969,6.03
1970,7.37
1971,3.46
1972,4.4
1973,5.38
1974,5.83
1975,4.65
1976,3.81
1977,7.39
1978,6.48
1979,6.63
1980,6.36
1981,7.38
1982,5.87
1983,7.37
1984,7.67
1985,5.99
1986,6.14
1987,7.27
1988,4.93
1989,4.41
1990,5.26
1991,6.21
1992,6.63
1993,5.0
1994,7.11
1995,6.63
1996,7.02
1997,6.97
1998,6.58
1999,7.6
2000,7.25
2001,6.47
2002,7.26
2003,7.31
2004,7.72
2005,8.93
2006,7.73
2007,7.15
2008,6.67
2009,6.78
2010,8.03
2011,6.36
2012,7.21
2013,6.34
2014,6.79
2015,6.02
2016,5.54
2017,6.8
2018,7.8
2019,7.88
2020,7.88
2021,7.64
2022,6.98
2023,7.59
