date,mean spring Schmidt stability
1968,1603.18
1969,355.33
1970,70.85
1971,690.62
1972,477.74
1973,162.21
1974,920.37
1975,983.7
1976,839.0
1977,598.15
1978,603.7
1979,360.85
1980,435.3
1981,498.51
1982,462.02
1983,356.26
1984,639.81
1985,251.21
1986,484.71
1987,200.85
1988,848.91
1989,1430.0
1990,1050.78
1991,819.7
1992,520.36
1993,1007.03
1994,1489.23
1995,710.95
1996,608.24
1997,753.82
1998,757.13
1999,603.04
2000,740.96
2001,998.68
2002,1140.9
2003,1036.78
2004,1000.16
2005,1073.55
2006,223.69
2007,1490.33
2008,1109.06
2009,942.73
2010,813.84
2011,2395.03
2012,1010.93
2013,298.79
2014,2415.54
2015,1142.02
2016,1010.34
2017,1744.33
2018,1978.69
2019,1156.66
2020,1817.94
2021,1054.78
2022,1989.25
2023,1633.13
