date,minimum Secchi depth
1974,2.8
1975,3.0
1976,3.5
1977,2.2
1978,3.6
1979,3.2
1980,3.2
1982,2.0
1983,4.5
1984,2.8
1985,4.0
1986,1.6
1987,1.5
1988,3.0
1989,1.8
1990,2.8
1991,2.8
1992,2.8
1993,2.0
1994,2.5
1995,3.0
1996,2.3
1997,2.5
1998,2.5
1999,2.0
2000,2.3
2001,1.7
2002,1.7
2003,3.3
2004,2.4
2005,1.8
2006,2.5
2007,2.8
2008,2.2
2009,1.8
2010,2.1
2011,2.5
2012,3.0
2013,2.9
2014,3.3
2015,1.2
2016,2.0
2017,2.2
2018,1.8
2019,2.8
2020,2.3
2021,2.6
2022,2.0
2023,2.8
