date,mean early autumn thermocline depth
1967,15.21
1968,18.03
1969,15.05
1970,16.79
1971,16.07
1972,18.52
1973,13.21
1974,17.6
1975,12.69
1976,15.24
1977,15.6
1978,15.22
1979,12.81
1980,14.21
1981,14.43
1982,12.39
1983,14.44
1984,16.1
1985,15.55
1986,11.94
1987,11.66
1988,15.02
1989,15.39
1990,14.11
1991,14.82
1992,14.24
1993,17.78
1994,17.83
1995,14.55
1996,16.55
1997,13.38
1998,20.59
1999,11.38
2000,12.89
2001,18.81
2002,15.29
2003,13.31
2004,14.31
2005,13.37
2006,14.67
2007,17.52
2008,17.26
2009,14.72
2010,16.81
2011,14.07
2012,15.04
2013,14.48
2014,15.32
2015,14.85
2016,13.22
2017,15.57
2018,13.11
2019,13.46
2020,15.49
2021,14.35
2022,15.49
2023,14.08
