date,mean spring surface oxygen concentration
1963,12.28
1964,12.03
1966,12.77
1967,11.52
1968,17.15
1969,11.69
1970,10.91
1971,13.01
1972,11.84
1973,11.38
1974,13.15
1975,13.56
1976,13.9
1977,13.36
1978,12.49
1979,12.16
1980,12.26
1981,13.66
1982,12.49
1983,11.92
1984,13.04
1985,11.84
1986,13.15
1987,11.69
1988,12.51
1989,12.79
1990,12.22
1991,12.45
1992,11.67
1993,11.99
1994,12.73
1995,13.14
1996,13.04
1997,12.1
1998,11.89
1999,13.4
2000,12.45
2001,12.12
2002,12.39
2003,11.88
2004,11.96
2005,12.25
2006,11.81
2007,11.44
2008,11.52
2009,11.82
2010,11.91
2011,12.69
2012,12.21
2013,11.72
2014,11.33
2015,11.49
2016,11.68
2017,11.69
2018,11.97
2019,12.02
2020,11.98
2021,11.64
2022,11.91
2023,11.56
