date,mean summer Secchi depth
1974,4.73
1975,3.35
1976,6.53
1977,6.94
1978,4.15
1979,4.16
1980,4.04
1981,5.44
1982,4.78
1983,5.08
1984,4.6
1985,6.83
1986,5.09
1987,3.63
1988,4.41
1989,4.4
1990,5.5
1991,5.2
1992,5.5
1993,5.1
1994,5.08
1995,4.41
1996,7.08
1997,5.53
1998,5.13
1999,3.14
2000,3.28
2001,2.0
2002,3.04
2003,4.66
2004,3.76
2005,3.22
2006,3.05
2007,3.68
2008,2.41
2009,2.48
2010,2.8
2011,2.94
2012,3.13
2013,3.07
2014,4.63
2015,2.98
2016,2.42
2017,3.8
2018,2.49
2019,3.75
2020,2.65
2021,3.4
2022,2.82
2023,3.56
