date,mean spring epilimnion 5-10 m oxygen concentration
1963,11.93
1964,11.33
1966,11.86
1967,11.48
1968,11.73
1969,10.91
1970,10.98
1971,11.5
1972,11.49
1973,11.02
1974,11.86
1975,12.68
1976,12.02
1977,12.69
1978,12.63
1979,11.61
1980,13.02
1981,12.38
1982,12.36
1983,12.19
1984,12.45
1985,11.84
1986,11.76
1987,11.23
1988,11.79
1989,12.26
1990,11.7
1991,11.04
1992,11.6
1993,12.0
1994,12.04
1995,11.77
1996,12.01
1997,11.86
1998,11.82
1999,12.16
2000,12.15
2001,11.77
2002,12.23
2003,11.83
2004,12.01
2005,12.23
2006,11.8
2007,11.82
2008,11.45
2009,11.56
2010,11.78
2011,13.06
2012,12.05
2013,11.71
2014,11.66
2015,11.49
2016,11.72
2017,11.89
2018,11.69
2019,11.98
2020,11.79
2021,11.51
2022,12.05
2023,11.67
