date,mean autumn Secchi depth
1974,7.63
1975,6.74
1976,7.03
1977,6.51
1978,7.38
1979,6.03
1980,5.93
1981,6.62
1982,8.04
1983,6.98
1984,7.88
1985,5.09
1986,8.22
1987,6.17
1988,8.35
1989,6.06
1990,6.56
1991,6.92
1992,9.21
1993,6.43
1994,8.1
1995,6.53
1996,9.56
1997,6.63
1998,7.03
1999,5.85
2000,6.5
2001,6.16
2002,5.04
2003,4.63
2004,7.63
2005,6.42
2006,7.46
2007,6.99
2008,5.78
2009,7.4
2010,6.16
2011,5.52
2012,5.65
2013,6.0
2014,5.15
2015,7.16
2016,5.97
2017,7.12
2018,6.79
2019,6.68
2020,6.23
2021,5.16
2022,7.17
2023,6.05
