date,mean late summer Secchi depth
1974,4.77
1975,4.38
1976,5.1
1977,7.26
1978,4.34
1979,5.57
1980,3.6
1981,6.36
1982,4.55
1983,5.88
1984,6.18
1985,5.63
1986,3.81
1987,3.78
1988,5.63
1989,5.74
1990,3.92
1991,3.64
1992,4.01
1993,4.96
1994,4.05
1995,4.31
1996,4.44
1997,3.31
1998,4.14
1999,2.97
2000,2.64
2001,2.52
2002,3.31
2003,4.86
2004,3.41
2005,3.29
2006,4.27
2007,4.3
2008,3.48
2009,3.91
2010,3.68
2011,3.41
2012,3.87
2013,3.45
2014,4.01
2015,5.05
2016,2.76
2017,3.04
2018,4.44
2019,5.04
2020,3.75
2021,4.22
2022,4.0
2023,4.42
