date,mean summer epilimnion 0-5 m oxygen concentration
1963,10.09
1964,10.49
1965,10.22
1966,10.65
1967,10.07
1968,10.05
1969,10.38
1970,10.1
1971,10.41
1972,12.87
1973,11.93
1974,12.5
1975,12.18
1976,10.92
1977,12.2
1978,10.48
1979,11.26
1980,13.27
1981,14.96
1982,11.37
1983,13.83
1984,10.11
1985,10.6
1986,9.93
1987,10.12
1988,9.73
1989,9.18
1990,10.56
1991,10.1
1992,10.38
1993,10.69
1994,11.4
1995,11.16
1996,10.34
1997,10.49
1998,10.15
1999,11.28
2000,9.9
2001,10.42
2002,10.07
2003,10.07
2004,10.37
2005,10.2
2006,9.51
2007,10.04
2008,10.24
2009,10.83
2010,10.75
2011,10.32
2012,9.91
2013,10.49
2014,9.94
2015,10.62
2016,9.9
2017,9.61
2018,9.7
2019,10.43
2020,10.24
2021,9.8
2022,9.71
2023,9.29
