date,mean autumn bottom oxygen concentration
1999,0.13
2000,0.05
2001,0.06
2002,0.01
2003,0.01
2004,0.23
2005,0.01
2006,0.05
2007,0.0
2008,0.02
2009,0.14
2010,0.24
2011,0.05
2012,0.11
2013,0.1
2014,0.03
2015,0.12
2016,0.1
2017,0.04
2018,0.13
2019,1.14
2020,0.1
2021,0.64
2022,0.7
2023,0.76
