date,mean summer Schmidt stability
1999,2094.44
2000,1734.91
2001,1865.94
2002,1840.17
2003,2682.63
2004,2009.07
2005,1769.36
2006,2174.99
2007,1390.27
2008,1946.43
2009,2034.15
2010,2430.64
2011,2339.45
2012,2083.15
2013,2036.27
2014,1846.3
2015,2539.43
2016,1973.95
2017,2133.78
2018,2240.81
2019,2078.72
2020,2308.88
2021,1746.65
2022,2181.27
2023,2443.2
