date,mean annual bottom density
1999,1000.2668
2000,1000.2548
2001,1000.2158
2002,1000.2293
2003,1000.2566
2004,1000.2327
2005,1000.2562
2006,1000.2614
2007,1000.2255
2008,1000.2467
2009,1000.2828
2010,1000.2586
2011,1000.2702
2012,1000.2372
2013,1000.2772
2014,1000.2591
2015,1000.2608
2016,1000.246
2017,1000.2706
2018,1000.264
2019,1000.1786
2020,1000.2201
2021,1000.2244
2022,1000.2442
2023,1000.2208
