date,mean winter Secchi depth
1999,4.66
2000,4.14
2001,2.79
2002,5.77
2003,4.98
2004,3.16
2005,5.73
2006,4.26
2007,4.38
2008,3.49
2009,1.07
2010,3.26
2011,4.46
2013,4.74
2015,4.14
2016,2.61
2017,4.17
2018,1.05
2019,5.09
2020,5.0
2021,4.74
2023,4.24
