date,mean late autumn hypolimnetic oxygen concentration
1999,2.71
2000,0.62
2001,3.37
2002,1.24
2003,1.24
2004,0.73
2005,2.71
2006,0.43
2007,4.85
2008,1.83
2009,1.14
2010,1.57
2011,0.95
2012,1.67
2013,2.58
2014,0.29
2015,1.12
2016,2.21
2017,2.48
2018,2.24
2019,5.27
2020,0.76
2021,3.51
2022,2.5
2023,4.32
