date,minimum surface temperature
1987,3.1
1988,5.8
1989,4.5
1990,4.2
1991,3.4
1992,3.0
1993,3.0
1994,5.1
1995,4.5
1996,4.9
1999,2.68
2000,3.82
2001,5.12
2002,2.7
2003,3.06
2004,4.24
2005,3.04
2006,2.8
2007,5.21
2008,4.24
2009,2.72
2010,2.93
2011,3.6
2012,1.74
2013,3.92
2014,4.92
2015,3.7
2016,5.36
2017,3.25
2018,3.68
2019,4.3
2020,5.86
2021,4.44
2022,5.22
2023,4.76
