date,mean summer bottom oxygen concentration
1999,1.25
2000,0.43
2001,0.59
2002,1.1
2003,1.69
2004,2.79
2005,2.07
2006,3.56
2007,0.44
2008,1.03
2009,1.6
2010,1.45
2011,0.07
2012,2.67
2013,3.42
2014,3.25
2015,2.49
2016,2.08
2017,2.5
2018,2.53
2019,2.22
2020,1.14
2021,4.67
2022,3.86
2023,3.62
