date,minimum bottom temperature
1999,2.98
2000,3.81
2001,4.92
2002,3.28
2003,3.18
2004,3.97
2005,3.11
2006,2.8
2007,5.17
2008,3.99
2009,2.88
2010,2.99
2011,3.4
2012,2.21
2013,3.95
2014,4.83
2015,3.82
2016,5.36
2017,3.27
2018,3.67
2019,4.35
2020,5.84
2021,4.19
2022,4.97
2023,4.78
