date,mean winter Schmidt stability
1999,-0.13
2000,0.0
2001,0.35
2002,7.44
2003,0.28
2004,-0.16
2005,1.18
2006,2.08
2007,1.25
2008,0.86
2009,3.67
2010,-0.38
2011,-0.33
2012,1.88
2013,0.46
2014,-1.47
2015,0.28
2016,0.09
2017,0.8
2018,4.12
2019,1.66
2020,5.4
2021,0.88
2022,1.37
2023,0.42
