date,mean autumn epilimnion 5-10 m oxygen concentration
1999,8.2
2000,8.63
2001,7.47
2002,8.75
2003,8.08
2004,8.24
2005,9.03
2006,6.36
2007,8.26
2008,8.07
2009,8.53
2010,9.05
2011,7.81
2012,8.1
2013,8.28
2014,7.92
2015,8.36
2016,8.45
2017,8.91
2018,8.43
2019,8.64
2020,8.45
2021,8.58
2022,8.89
2023,8.82
