date,mean annual surface conductivity
1987,371.18
1988,382.32
1989,418.12
1990,401.27
1991,405.27
1992,410.98
1993,408.94
1994,416.86
1995,433.92
1996,436.63
1999,425.15
2000,422.66
2001,421.83
2002,411.35
2003,397.28
2004,412.53
2005,419.22
2006,397.28
2007,420.11
2008,414.64
2009,417.0
2010,422.84
2011,406.84
2012,415.7
2013,445.86
2014,447.38
2015,447.61
2016,437.95
2017,431.67
2018,422.24
2019,432.28
2020,435.15
2021,458.55
2022,441.36
2023,440.52
