date,mean summer surface oxygen concentration
1986,11.1
1987,10.32
1988,10.97
1989,8.72
1990,9.51
1991,11.04
1992,12.19
1993,9.56
1994,11.45
1995,10.29
1996,9.56
1997,10.68
1999,10.59
2000,11.05
2001,10.51
2002,9.74
2003,9.38
2004,9.99
2005,9.18
2006,11.42
2007,9.17
2008,9.29
2009,9.84
2010,10.14
2011,10.7
2012,9.88
2013,9.87
2014,10.18
2015,10.08
2016,10.97
2017,9.66
2018,10.03
2019,9.81
2020,9.65
2021,10.77
2022,9.17
2023,9.63
