date,mean early autumn hypolimnetic oxygen concentration
1999,2.42
2000,2.35
2001,0.49
2002,1.81
2003,2.32
2004,2.57
2005,2.15
2006,3.0
2007,1.08
2008,2.72
2009,3.06
2010,2.63
2011,0.53
2012,1.43
2013,2.56
2014,1.05
2015,2.84
2016,2.08
2017,2.15
2018,3.6
2019,2.32
2020,1.54
2021,3.75
2022,4.07
2023,3.56
