date,mean annual bottom conductivity
1999,473.3
2000,479.93
2001,471.51
2002,465.44
2003,469.41
2004,459.15
2005,468.14
2006,461.69
2007,459.15
2008,464.56
2009,486.6
2010,475.53
2011,470.03
2012,456.59
2013,489.63
2014,497.57
2015,499.03
2016,478.08
2017,481.75
2018,467.12
2019,464.59
2020,476.79
2021,483.15
2022,489.43
2023,485.1
