date,mean autumn Secchi depth
1999,3.52
2000,3.3
2001,3.2
2002,4.52
2003,3.84
2004,4.17
2005,3.74
2006,2.34
2007,3.68
2009,4.63
2010,2.98
2011,5.49
2012,3.8
2013,4.13
2014,4.35
2015,4.48
2016,3.37
2017,4.43
2018,5.67
2019,4.79
2020,5.06
2021,3.1
2022,6.14
2023,6.08
