date,mean winter bottom oxygen concentration
1999,11.44
2000,11.61
2001,9.31
2002,10.06
2003,10.5
2004,10.14
2005,9.63
2006,11.47
2007,9.09
2008,11.47
2009,10.7
2010,9.42
2011,8.97
2012,10.03
2013,9.29
2014,7.97
2015,9.79
2016,9.28
2017,11.21
2018,11.13
2019,10.36
2020,9.71
2021,10.32
2022,11.68
2023,10.12
