date,mean annual Secchi depth
1999,3.1
2000,3.56
2001,3.26
2002,3.31
2003,3.35
2004,3.34
2005,3.37
2006,2.16
2007,2.87
2009,3.36
2010,3.31
2011,3.72
2013,3.68
2015,4.02
2016,3.23
2017,3.59
2018,4.21
2019,4.54
2020,4.37
2021,3.88
2022,4.93
2023,3.88
