date,mean late autumn bottom oxygen concentration
1999,1.75
2000,0.14
2001,0.12
2002,0.51
2003,0.4
2004,0.2
2005,1.93
2006,0.0
2007,2.42
2008,1.43
2009,0.29
2010,0.53
2011,0.77
2012,1.27
2013,0.72
2014,0.09
2015,0.1
2016,1.63
2017,1.78
2018,0.14
2019,4.79
2020,0.1
2021,2.37
2022,0.63
2023,1.81
