date,mean early autumn Schmidt stability
1999,2042.03
2000,1756.0
2001,1258.49
2002,1402.89
2003,1493.81
2004,1840.93
2005,1867.16
2006,1612.45
2007,1350.66
2008,1697.85
2009,1756.76
2010,1482.97
2011,2052.84
2012,1714.58
2013,1487.23
2014,1684.66
2015,1612.94
2016,1734.46
2017,1634.2
2018,2059.32
2019,1605.23
2020,1834.72
2021,1691.13
2022,2007.4
2023,2338.21
