date,mean autumn surface temperature
1986,14.74
1987,14.49
1988,14.62
1989,14.8
1990,14.37
1991,14.62
1992,14.1
1993,13.38
1994,14.85
1995,15.43
1996,12.43
1999,14.45
2000,15.11
2001,15.42
2002,14.11
2003,13.22
2004,15.99
2005,15.88
2006,15.97
2007,14.88
2008,15.34
2009,15.86
2010,13.99
2011,16.45
2012,15.39
2013,14.53
2014,17.21
2015,14.13
2016,13.6
2017,15.28
2018,15.73
2019,15.08
2020,14.42
2021,15.52
2022,16.04
2023,18.2
