date,mean spring bottom oxygen concentration
1999,11.08
2000,10.78
2001,10.04
2002,10.98
2003,10.83
2004,11.34
2005,11.62
2006,11.98
2007,9.23
2008,11.54
2009,11.1
2010,11.79
2011,8.12
2012,12.3
2013,12.09
2014,6.59
2015,11.49
2016,10.05
2017,9.63
2018,10.96
2019,10.95
2020,10.46
2021,11.48
2022,11.66
2023,10.74
