date,mean early autumn bottom oxygen concentration
1999,0.13
2000,0.11
2001,0.0
2002,0.11
2003,0.08
2004,0.54
2005,0.08
2006,0.43
2007,0.02
2008,0.16
2009,0.14
2010,0.25
2011,0.01
2012,0.13
2013,0.18
2014,0.06
2015,0.29
2016,0.12
2017,0.14
2018,0.51
2019,0.21
2020,0.1
2021,0.94
2022,0.76
2023,1.29
