date,mean autumn Schmidt stability
1999,930.21
2000,988.57
2001,948.55
2002,781.75
2003,714.3
2004,1099.51
2005,1077.78
2006,1132.41
2007,925.86
2008,825.11
2009,1201.96
2010,828.4
2011,1255.07
2012,992.57
2013,915.55
2014,1329.32
2015,827.79
2016,737.35
2017,1045.63
2018,1132.61
2019,884.05
2020,846.8
2021,992.37
2022,1107.66
2023,1521.68
