date,mean spring surface temperature
1987,6.65
1988,9.67
1989,11.49
1990,9.06
1991,7.74
1992,8.47
1993,11.83
1994,7.91
1995,8.31
1996,12.74
1999,7.31
2000,9.73
2001,7.59
2002,9.49
2003,10.06
2004,8.37
2005,7.29
2006,6.52
2007,12.04
2008,7.67
2009,9.03
2010,7.24
2011,14.13
2012,8.41
2013,10.91
2014,9.83
2015,8.93
2016,10.69
2017,13.49
2018,8.46
2019,8.19
2020,12.07
2021,7.9
2022,10.79
2023,10.08
