date,minimum bottom oxygen concentration
1999,0.1
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.2
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.03
2010,0.0
2011,0.0
2012,0.1
2013,0.1
2014,0.02
2015,0.1
2016,0.1
2017,0.02
2018,0.1
2019,0.2
2020,0.1
2021,0.62
2022,0.6
2023,0.7
