date,mean winter epilimnion 5-10 m oxygen concentration
1999,12.62
2000,11.82
2001,9.41
2002,11.83
2003,10.97
2004,10.2
2005,10.63
2006,12.06
2007,9.96
2008,11.6
2009,11.04
2010,10.16
2011,10.39
2012,10.27
2013,9.89
2014,9.76
2015,9.88
2016,9.26
2017,11.43
2018,11.15
2019,10.76
2020,10.29
2021,10.38
2022,11.79
2023,10.07
