date,mean spring Secchi depth
1999,3.11
2000,2.66
2001,2.36
2002,2.5
2003,2.93
2004,2.88
2005,3.15
2006,1.11
2007,2.74
2008,1.65
2009,3.22
2010,3.51
2011,3.0
2012,4.26
2013,3.17
2014,3.0
2015,4.11
2016,3.18
2017,2.7
2018,3.6
2019,4.89
2020,4.39
2021,4.87
2022,4.63
2023,4.35
