date,mean annual surface temperature
1987,12.83
1988,14.01
1989,14.32
1990,12.7
1991,12.86
1992,12.89
1993,13.12
1994,13.65
1995,13.42
1996,13.07
1999,13.24
2000,14.13
2001,13.57
2002,13.4
2003,14.37
2004,13.5
2005,12.62
2006,13.11
2007,13.1
2008,13.46
2009,13.84
2010,12.25
2011,14.74
2012,12.84
2013,13.3
2014,13.87
2015,13.83
2016,13.94
2017,14.36
2018,14.1
2019,13.4
2020,14.24
2021,13.42
2022,14.7
2023,15.23
