date,mean spring epilimnion 5-10 m oxygen concentration
1999,12.98
2000,11.81
2001,12.01
2002,12.35
2003,13.53
2004,12.08
2005,12.39
2006,12.75
2007,12.06
2008,12.9
2009,13.24
2010,12.34
2011,12.4
2012,12.86
2013,13.42
2014,11.33
2015,12.3
2016,11.95
2017,12.58
2018,12.82
2019,12.16
2020,11.71
2021,12.18
2022,12.23
2023,11.84
