date,mean autumn hypolimnetic oxygen concentration
1999,1.84
2000,1.04
2001,0.53
2002,0.94
2003,1.24
2004,1.26
2005,1.33
2006,1.44
2007,1.05
2008,1.3
2009,2.04
2010,1.69
2011,0.29
2012,0.65
2013,1.66
2014,0.32
2015,1.49
2016,1.07
2017,1.09
2018,2.43
2019,2.2
2020,0.55
2021,2.52
2022,3.12
2023,2.53
