date,mean spring bottom temperature
1999,4.81
2000,5.84
2001,6.49
2002,6.1
2003,5.24
2004,5.49
2005,5.04
2006,5.0
2007,6.34
2008,5.46
2009,4.72
2010,4.97
2011,4.52
2012,4.58
2013,4.86
2014,5.4
2015,5.93
2016,5.77
2017,4.73
2018,4.51
2019,6.21
2020,6.63
2021,5.82
2022,6.18
2023,6.36
