date,mean summer thermocline depth
1999,9.28
2000,8.96
2001,8.09
2002,8.07
2003,7.54
2004,9.15
2005,9.13
2006,5.75
2007,10.96
2008,7.37
2009,9.74
2010,6.62
2011,8.56
2012,8.0
2013,7.2
2014,10.34
2015,7.96
2016,5.6
2017,8.13
2018,8.84
2019,8.57
2020,9.66
2021,5.5
2022,8.11
2023,8.12
