gauge_id,rmse_temp,nse_temp,strategy
2009,0.8696,0.838,ea_lstm_temp
2016,1.1597,0.96,ea_lstm_temp
2018,1.5264,0.934,ea_lstm_temp
2044,2.2459,0.861,ea_lstm_temp
2068,1.2241,0.887,ea_lstm_temp
2085,1.1868,0.95,ea_lstm_temp
2130,1.3024,0.956,ea_lstm_temp
2135,1.3476,0.928,ea_lstm_temp
2143,1.3918,0.953,ea_lstm_temp
2174,2.0347,0.86,ea_lstm_temp
2243,1.443,0.951,ea_lstm_temp
2410,0.8016,0.853,ea_lstm_temp
2415,1.5731,0.922,ea_lstm_temp
2462,0.9382,0.923,ea_lstm_temp
2613,1.3507,0.952,ea_lstm_temp
