gauge_id,rmse_do,nse_do,strategy
2009,0.256133109331131,0.7998310774564743,ea_lstm
2016,0.5258287787437439,0.8894487768411636,ea_lstm
2018,0.4570804238319397,0.8789128810167313,ea_lstm
2044,0.5802716016769409,0.8392848670482635,ea_lstm
2085,0.3878520131111145,0.9095440953969955,ea_lstm
2143,0.49424469470977783,0.9152073040604591,ea_lstm
2174,0.4101923704147339,0.8663485646247864,ea_lstm
2410,0.41961830854415894,0.47976821660995483,ea_lstm
2415,0.3989853858947754,0.9139592871069908,ea_lstm
2462,0.2857639789581299,0.8835545033216476,ea_lstm
2473,0.3091351389884949,0.8887118026614189,ea_lstm
2613,0.473723441362381,0.9223675355315208,ea_lstm
