date,NH4_N,Cl,q_max_kanton,q_min_kanton,q_mean_kanton,q_mean_sensor,doc,ec25_lab,ec25_sensor,tp,tn,NO3_N,NO2_N,drp,pH_lab,pH_sensor,O2_lab,O2_sensor,O2S_sensor,turbidity_sensor,temp_lab,temp_sensor
2011-01-04 11:00:00,0.12,14.7,,,,120.5122,1.6,438.0,443.8,0.022,2.16,1.89,0.017,0.011,8.2,8.17,11.6,11.31,92.6929,12.63,4.5,4.66
2011-02-02 11:00:00,0.101,9.71,,,,146.985,1.55,426.0,436.0,0.019,1.91,1.65,0.012,0.009,8.2,8.18,11.6,12.07,97.7165,8.01,4.1,4.19
2011-03-03 10:45:00,0.125,11.6,,,,84.5624,1.65,435.0,430.6,0.019,1.97,1.62,0.024,<0.005,8.2,8.215,11.5,13.3,111.9235,17.53,5.5,5.685
2011-04-11 12:00:00,0.021,4.7,,,,137.798,1.04,326.0,323.0,0.012,1.01,0.88,0.007,<0.005,8.3,8.25,10.8,11.3,113.5967,11.36,13.3,13.06
2011-05-03 11:40:00,0.047,5.63,,,,93.7913,1.23,332.0,324.0,0.014,1.1,0.971,0.011,<0.005,8.2,8.19,9.3,10.0,107.4611,8.69,15.4,16.11
2011-06-08 11:45:00,0.03,4.01,,,,257.2982,1.09,306.0,296.9,0.021,1.06,0.805,0.008,0.005,8.2,8.015,8.7,9.175,101.7216,8.73,17.1,17.605
2011-07-07 11:45:00,0.027,3.31,,,,239.9448,0.978,283.0,278.0,0.015,0.866,0.653,0.005,<0.005,8.2,,8.8,9.555,108.6675,4.5,19.1,18.86
2011-08-08 12:30:00,0.02,2.83,,,,341.8086,1.09,261.0,254.0,0.014,0.803,0.604,0.006,<0.005,8.3,,8.3,9.18,106.7031,8.0,20.0,19.96
2011-09-06 11:22:00,0.042,2.9,,,,227.7452,1.53,291.0,259.0,0.03,0.922,0.679,0.008,0.007,8.1,8.01,8.0,8.112,92.3194,11.0,18.8,18.894
2011-10-05 11:00:00,0.011,5.69,,,,174.7058,1.2,309.0,301.0,0.013,0.907,0.818,0.011,<0.005,8.1,8.15,8.8,9.19,105.5843,12.72,19.0,19.37
2011-11-09 11:10:00,0.041,6.3,,,,44.4377,1.14,331.0,322.0,0.014,1.19,0.951,0.011,<0.005,8.0,8.11,9.4,9.74,99.9912,3.0,13.5,14.0
2011-12-05 10:40:00,0.025,8.03,,,,111.6592,1.23,354.0,349.0,0.015,1.37,1.2,0.012,<0.005,8.2,8.2,11.5,10.62,100.8938,5.0,10.2,10.61
2012-01-04 11:00:00,0.064,7.23,,,,238.3043,1.84,361.0,361.0,0.028,1.53,1.32,0.015,0.015,8.1,8.05,11.3,11.61,100.0524,8.0,6.6,6.62
2012-02-02 11:30:00,0.067,10.3,,,,149.695,1.7,404.0,396.0,0.022,1.83,1.57,0.017,0.01,8.2,8.1,11.3,11.92,98.8634,5.83,4.6,5.12
2012-03-05 10:50:00,0.123,10.6,,,,163.2899,1.71,434.0,429.8,0.016,1.94,1.47,0.019,<0.005,8.2,8.17,11.7,12.26,103.7403,5.0,5.4,5.9
2012-04-03 11:10:00,0.064,5.68,,,,185.8907,1.25,364.0,337.0,0.012,1.22,0.952,0.008,<0.005,8.2,8.12,11.3,11.67,107.0913,3.88,8.7,9.16
2012-05-09 10:40:00,0.026,3.23,,,,295.3029,0.949,310.0,309.0,0.012,0.883,0.707,0.005,<0.005,8.2,8.13,10.3,10.83,107.1319,5.0,12.8,12.35
2012-06-07 11:45:00,0.026,2.5,,,,278.9671,0.74,285.0,282.0,0.011,0.781,0.585,0.005,<0.005,8.2,8.12,10.0,10.46,108.4879,4.0,14.9,14.465
2012-07-02 11:15:00,0.031,2.35,,,,376.5414,0.812,269.0,271.85,0.017,0.816,0.603,0.006,<0.005,8.1,7.98,9.7,10.24,111.1485,7.76,16.7,16.585
