date,NH4_N,Cl,q_max_kanton,q_min_kanton,q_mean_kanton,q_mean_sensor,doc,ec25_lab,ec25_sensor,tp,tn,NO3_N,NO2_N,drp,pH_lab,pH_sensor,O2_lab,O2_sensor,O2S_sensor,turbidity_sensor,temp_lab,temp_sensor
2011-01-25 10:00:00,0.008,7.7,,,2.64,2.6724,1.3,435.0,,0.063,,2.2,0.001,0.011,8.2,,11.7,,,,5.2,
2011-02-22 10:18:00,0.008,10.0,,,2.06,2.1433,1.5,478.0,,0.01,,2.1,0.002,0.007,8.4,,12.0,,,,6.2,
2011-03-22 10:35:00,0.012,7.2,,,2.19,2.2448,1.6,459.0,,0.011,,1.9,0.002,0.007,8.3,,13.1,,,,6.2,
2011-04-26 10:30:00,0.011,7.9,,,1.02,1.1322,1.2,446.0,,0.01,,1.8,0.009,0.004,8.0,,11.4,,,,11.0,
2011-05-10 10:30:00,0.023,8.3,,,0.87,0.9611,1.2,455.0,,0.023,,1.8,0.014,0.012,8.3,,10.8,,,,12.9,
2011-06-27 08:20:00,0.028,8.2,,,1.15,1.1352,1.5,477.0,,0.028,,2.0,0.006,0.016,8.1,,10.0,,,,14.2,
2011-07-18 08:30:00,0.017,7.2,,,3.54,3.7695,2.5,489.0,,0.062,,1.9,0.002,0.03,8.3,,10.4,,,,11.2,
2011-08-09 10:50:00,0.014,6.5,,,3.05,3.0884,2.4,493.0,,0.045,,1.9,0.002,0.022,8.4,,10.8,,,,11.5,
2011-09-06 10:55:00,0.027,4.6,,,11.6,11.4631,3.9,480.0,,0.126,,1.9,0.001,0.03,8.2,,10.9,,,,10.5,
2011-10-04 10:20:00,0.018,7.4,,,1.03,1.0491,1.9,480.0,,0.021,,1.9,0.012,0.007,8.2,,10.8,,,,11.8,
2011-11-02 10:20:00,0.008,7.1,,,1.08,1.1062,1.5,486.0,,0.018,,1.9,0.004,0.002,8.1,,11.8,,,,10.1,
2011-12-06 09:40:00,0.03,6.4,,,5.44,5.9518,2.6,514.0,,0.158,,2.6,0.003,0.034,8.3,,11.0,,,,7.9,
2012-01-24 10:15:00,0.045,5.4,,,14.8,15.7937,2.6,443.0,,0.057,,2.0,0.003,0.035,8.3,,11.4,,,,7.4,
2012-02-21 10:00:00,0.047,14.0,,,2.71,2.6764,1.4,529.0,,0.016,,2.4,0.003,0.01,8.2,,12.9,,,,3.8,
2012-03-19 10:25:00,0.023,6.4,,,8.34,3.528,1.8,462.0,,0.022,,2.2,0.003,0.002,8.3,,12.1,,,,7.5,
2012-04-24 10:15:00,0.034,5.9,,,5.74,5.7118,1.5,467.0,,0.039,,2.2,0.002,0.021,8.3,,10.9,,,,8.1,
2012-05-29 10:20:00,0.027,6.7,,,1.58,1.5842,1.2,469.0,,0.013,,1.8,0.004,0.009,8.3,,10.6,,,,12.7,
2012-06-18 11:41:00,0.034,6.2,,,2.19,2.2229,1.9,483.0,,0.04,,2.4,0.004,0.016,8.3,,10.7,,,,13.4,
2012-07-10 10:45:00,0.017,6.4,,,2.92,2.4748,1.7,499.0,,0.035,,2.0,0.004,0.015,8.3,,10.6,,,,12.7,
2012-08-21 09:55:00,0.013,7.4,,,0.94,0.9486,1.5,471.0,,0.06,,1.8,0.007,0.008,8.3,,9.7,,,,16.1,
2012-09-11 10:05:00,0.011,5.7,,,2.09,1.9213,1.7,502.0,,0.03,,2.1,0.001,0.018,8.3,,10.3,,,,12.2,
2012-10-02 10:30:00,0.022,6.1,,,2.17,2.1943,1.9,512.0,,0.021,,2.1,0.004,0.018,8.3,,11.0,,,,10.2,
2012-11-06 10:15:00,0.018,4.8,,,12.7,12.7733,2.7,496.0,,0.044,,2.1,0.002,0.026,8.2,,10.9,,,,8.8,
2012-12-04 10:35:00,0.063,6.8,,,23.4,27.2948,2.6,426.0,,0.16,,1.8,<0.001,0.063,7.9,,11.3,,,,7.3,
2013-01-08 10:35:00,0.013,5.0,,,5.05,5.0562,0.9,484.0,,0.013,,2.2,<0.001,0.015,8.3,,11.2,,,,6.9,
2013-02-12 10:15:00,0.046,10.0,,,5.33,5.3893,1.6,500.0,,0.038,,2.0,<0.001,0.015,8.1,,11.2,,,,5.9,
2013-03-05 10:54:00,0.019,9.0,,,3.04,2.9326,1.4,486.0,,0.013,,2.0,0.002,0.005,8.3,,12.2,,,,5.4,
2013-04-09 10:40:00,0.009,7.2,,,3.89,3.5465,1.5,467.0,,0.014,,2.0,0.002,0.002,8.4,,11.5,,,,7.3,
2013-05-07 10:23:00,0.013,5.5,,,3.63,3.6602,1.5,464.0,,0.02,,1.5,0.002,<0.002,8.4,,10.7,,,,10.3,
2013-06-04 12:55:00,0.021,4.6,,,10.1,10.0074,1.6,476.0,,0.04,,2.0,0.002,0.026,8.4,,10.4,,,,9.7,
2013-07-15 10:25:00,0.023,5.7,,,1.91,1.9128,1.5,470.0,,0.03,,1.6,0.003,0.011,8.2,,10.1,,,,13.1,
2013-08-21 10:15:00,0.017,6.2,,,1.53,1.5262,1.3,483.0,,0.031,,2.0,0.004,0.01,8.3,,10.0,,,,12.3,
2013-09-17 07:45:00,0.026,6.4,,,3.56,3.814,2.1,464.0,,0.064,,1.9,0.005,0.015,8.1,,9.5,,,,11.1,
