date,NH4_N,Cl,q_max_kanton,q_min_kanton,q_mean_kanton,q_mean_sensor,doc,ec25_lab,ec25_sensor,tp,tn,NO3_N,NO2_N,drp,pH_lab,pH_sensor,O2_lab,O2_sensor,O2S_sensor,turbidity_sensor,temp_lab,temp_sensor
2011-01-25 09:30:00,0.034,21.3,,,0.54,0.5328,2.8,675.0,,0.039,7.95,6.81,0.007,0.021,8.1,,12.4,,,,3.2,
2011-02-25 09:30:00,0.057,33.9,,,0.77,0.4898,3.7,710.0,,0.096,8.45,7.57,0.014,0.024,8.1,,10.0,,,,4.3,
2011-03-25 17:07:00,0.64,26.2,,,0.46,0.4681,3.8,686.0,,0.023,8.02,6.44,0.043,0.006,8.3,,13.6,,,,8.6,
2011-04-19 13:40:00,0.019,38.8,,,0.2,0.2129,3.7,691.0,,0.04,12.2,11.1,0.033,0.015,8.2,,14.9,,,,11.8,
2011-06-08 09:00:00,0.073,57.4,,,0.13,0.128,4.7,745.0,,0.2,13.8,12.2,0.037,0.164,8.1,,10.5,,,,14.8,
2011-07-06 15:10:00,0.062,60.3,,,0.13,0.133,14.0,784.0,,0.156,17.4,15.5,0.019,0.108,8.3,,8.1,,,,18.8,
2011-07-17 15:45:00,0.033,20.6,,,0.48,0.5793,4.2,637.0,,0.082,5.77,5.31,0.009,0.066,8.3,,9.4,,,,16.8,
2011-08-22 09:05:00,0.039,31.2,,,0.26,0.2539,3.5,718.0,,0.101,9.31,8.57,0.012,0.074,7.5,,,,,,19.4,
2011-10-03 08:30:00,0.039,51.1,,,0.13,0.126,4.0,796.0,,0.123,4.39,3.82,0.008,0.081,8.3,,10.6,,,,15.4,
2011-10-18 11:00:00,0.029,39,,,0.22,0.2219,4.0,760.0,,0.07,5.24,4.84,0.011,0.05,8.2,,9.8,,,,11.6,
2011-11-26 12:10:00,0.049,20,,,0.11,0.088,4.4,850.0,,0.063,20.7,18.4,0.025,0.032,8.0,,11.7,,,,6.5,
