date,NH4_N,Cl,q_max_kanton,q_min_kanton,q_mean_kanton,q_mean_sensor,doc,ec25_lab,ec25_sensor,tp,tn,NO3_N,NO2_N,drp,pH_lab,pH_sensor,O2_lab,O2_sensor,O2S_sensor,turbidity_sensor,temp_lab,temp_sensor
2011-01-17 08:04:00,0.241,19.0,,,,77.526,0.756,423.0,420.88,0.032,1.08,0.822,,0.014,8.1,8.05,12.1,12.13,98.5672,14.85,4.71,4.634
2011-02-14 10:03:00,0.34,16.0,,,,100.6915,<0.5,366.0,367.06,0.037,0.88,0.579,0.014,0.006,8.1,8.053,12.2,12.226,99.1717,34.0,4.55,4.566
2011-03-14 09:41:00,0.238,24.4,,,,54.8655,0.701,449.0,450.4,0.17,1.1,0.812,0.022,0.009,8.1,8.05,11.6,11.621,98.7957,233.9,6.36,6.394
2011-04-11 08:32:00,0.145,14.0,,,,113.8118,0.924,376.0,376.0,0.067,0.95,0.736,0.021,0.009,8.1,8.1,10.5,10.734,100.0851,43.42,10.24,10.152
2011-05-09 06:59:00,0.142,12.7,,,,98.1295,0.777,341.0,337.15,0.041,0.86,0.65,0.031,0.008,8.0,7.999,9.5,10.077,96.4531,32.0,11.42,11.264
2011-06-06 07:38:00,0.129,10.2,,,,199.7201,0.532,266.0,264.76,0.176,0.69,0.536,0.018,0.013,8.0,7.92,10.3,10.328,98.2106,87.15,10.99,10.984
2011-07-04 07:57:00,0.125,9.92,,,,158.5363,<0.5,272.0,260.76,0.118,0.58,0.464,0.019,0.008,8.1,8.07,10.5,10.567,99.1873,131.7,10.49,10.433
2011-08-16 09:38:00,0.124,8.07,,,,170.8833,<0.5,213.0,210.4,0.156,0.54,0.371,0.013,0.006,8.2,8.24,10.9,10.84,101.2563,164.74,9.81,10.228
2011-09-12 08:24:00,0.101,6.31,,,,257.1931,<0.5,184.0,181.9,0.198,<0.5,0.304,0.011,0.005,8.4,8.43,11.1,11.15,100.81,283.78,8.94,8.872
2011-10-10 08:27:00,0.1,12.4,,,,178.3501,1.12,346.0,344.86,0.21,0.82,0.451,0.007,0.007,8.3,8.31,11.3,11.253,99.7861,,7.98,8.08
2011-11-07 08:40:00,0.111,8.82,,,,134.7551,1.49,284.0,284.0,0.211,0.71,0.492,0.014,0.004,8.2,8.19,11.5,11.45,101.558,266.15,8.1,8.09
2011-12-12 08:28:00,0.158,14.9,,,,99.903,0.59,334.0,334.72,0.031,0.69,0.522,0.013,0.005,8.1,8.11,12.1,12.09,99.5951,24.03,5.14,5.162
2012-01-16 08:40:00,0.288,17.4,,,,89.67,1,379.0,380.0,0.034,1.06,0.73,0.017,0.007,8.1,8.17,12.6,12.6,98.2369,24.0,3.09,3.06
2012-02-13 08:49:00,0.288,14.7,,,,105.6409,0.7,354.0,354.63,0.024,0.85,0.61,0.011,0.008,8.1,8.11,12.9,12.918,98.4056,21.48,2.23,2.191
2012-03-12 08:07:00,0.156,21.7,,,,69.1623,0.8,446.0,445.4,0.038,0.86,0.74,0.013,0.007,8.1,8.137,12.1,12.064,99.3758,24.17,5.18,5.16
2012-04-10 08:37:00,0.157,14.2,,,,112.154,0.9,428.0,428.3,0.028,0.95,0.75,0.017,0.007,8.2,8.237,11.3,11.454,99.3424,16.25,7.11,7.188
2012-05-07 07:56:00,0.042,8.0,,,,176.2695,1,320.0,321.68,0.145,0.61,0.55,0.008,0.006,8.2,8.22,11.1,11.13,99.9393,,8.56,8.59
2012-06-04 08:15:00,0.02,3.9,,,,472.3472,0.6,193.0,193.6,,,0.43,0.007,0.005,8.4,8.37,11.3,11.33,103.2061,,9.37,9.18
2012-07-02 08:29:00,0.005,3.2,,,,471.4331,<0.5,164.0,169.08,0.244,<0.5,0.25,0.005,0.008,8.5,8.48,11.3,11.358,103.7893,,9.39,9.311
2012-08-13 07:55:00,0.115,8.5,,,,225.6691,<0.5,228.0,219.0,0.107,0.55,0.15,0.014,0.005,8.2,8.21,10.9,10.85,101.4629,142.53,10.28,10.275
2012-09-10 07:45:00,0.087,10.2,,,,199.5551,<0.5,284.0,280.0,0.045,0.63,0.55,0.015,0.005,8.1,8.09,10.5,10.565,100.8671,73.49,11.15,11.155
2012-10-08 08:34:00,0.226,12.7,,,,117.424,0.5,341.0,341.28,0.035,0.74,0.54,0.019,0.007,8.1,8.03,10.7,10.64,99.2369,43.28,10.08,10.164
2012-11-05 09:13:00,0.225,13.7,,,,111.3966,1.1,391.0,390.44,0.038,0.89,0.63,0.012,0.007,8.2,8.15,11.0,11.0,97.2132,26.85,7.89,7.943
2012-12-03 09:15:00,0.265,17.0,,,,90.3175,<0.5,386.0,368.3,0.015,0.97,0.67,0.008,0.007,8.1,8.11,12.4,12.33,98.8704,16.5,4.19,4.125
2013-01-14 07:30:00,0.144,16.5,,,,74.813,0.717,402.0,402.0,0.016,1.05,0.751,0.01,0.004,8.1,8.07,12.0,11.99,97.9013,14.16,4.79,4.82
2013-02-11 07:55:00,0.171,14.1,,,,93.4145,0.992,368.0,367.6,0.016,0.87,0.711,0.01,0.007,8.1,8.11,12.3,12.26,96.9876,22.16,3.64,3.61
2013-03-11 09:15:00,0.199,25.6,,,,70.6325,0.966,469.0,467.5,0.03,1.19,1.03,0.008,0.009,8.2,8.15,11.5,11.465,97.3115,22.67,6.33,6.33
2013-04-08 08:55:00,0.224,29.4,,,,67.0875,0.982,544.0,528.7,0.023,1.21,1.2,0.023,0.004,8.1,8.185,10.9,11.25,99.0714,14.0,7.84,7.8
2013-05-06 09:10:00,0.095,9.2,,,,223.9051,0.806,317.0,322.8,0.117,0.83,0.575,0.011,0.005,8.2,8.18,11.0,10.87,98.1541,93.44,8.97,8.82
2013-06-03 09:15:00,0.088,9.94,,,,215.0711,1.14,348.0,349.0,0.062,0.76,0.585,0.011,0.004,8.2,8.21,10.9,10.89,99.3301,88.71,9.18,9.235
2013-07-01 06:40:00,0.1,10.1,,,,198.9811,0.65,323.0,313.8,0.101,0.7,0.522,0.011,0.008,8.2,8.2,10.4,10.48,99.063,110.96,10.96,10.73
2013-08-12 07:05:00,0.077,6.6,,,,276.6346,0.907,219.0,211.9,0.125,0.59,0.443,0.009,0.004,8.4,8.36,10.7,10.805,99.928,187.98,10.18,9.81
2013-09-09 09:25:00,0.09,9.28,,,,248.3621,0.73,246.0,244.9,0.145,1.13,0.503,0.015,0.004,8.3,8.415,10.7,10.78,101.467,1585.66,10.58,10.55
2013-10-07 07:55:00,0.064,8.91,,,,111.4225,0.7,324.0,317.25,0.028,0.62,0.518,0.015,0.006,8.1,8.13,10.7,10.72,99.0232,27.25,9.87,9.76
2013-11-04 09:05:00,0.16,7.16,,,,145.0511,1.13,352.0,352.2,0.053,0.76,0.552,0.013,0.007,8.2,8.175,11.1,11.075,96.5533,49.96,7.41,7.395
2013-12-02 09:00:00,0.224,14.4,,,,124.686,0.588,348.0,345.0,0.016,0.73,0.525,0.012,0.005,8.1,8.11,12.5,12.45,98.4907,18.5,3.62,3.61
2014-01-13 08:51:00,0.231,18.5,,,,83.2371,0.8,425.0,426.4,0.071,1.05,0.777,0.016,0.01,8.1,8.07,12.0,12.043,97.7992,8.44,4.63,4.61
2014-02-10 11:48:00,0.255,27.7,,,,140.3533,0.7,445.0,441.66,0.026,1.16,0.819,0.017,0.007,8.2,8.18,12.1,12.158,99.7783,18.96,5.06,5.016
2014-03-10 07:43:00,0.197,25.4,,,,61.8425,0.9,490.0,498.8,0.036,1.39,1.04,0.019,0.01,8.1,8.08,11.2,11.273,95.8032,26.55,6.41,6.38
2014-04-07 08:28:00,0.077,15.0,,,,122.3544,0.9,386.0,383.24,0.047,0.89,0.738,0.016,0.005,8.2,8.15,11.0,11.098,100.6965,44.3,8.97,9.018
2014-05-05 07:51:00,0.049,13.0,,,,124.7444,1,373.0,368.72,0.027,0.85,0.739,0.011,0.005,8.2,8.15,11.2,11.301,100.907,22.88,8.35,8.361
2014-06-16 07:39:00,0.055,8.1,,,,238.3202,<0.5,235.0,222.92,0.099,0.52,0.435,0.008,0.005,8.2,8.19,10.9,11.019,101.3512,109.05,9.65,9.582
2014-07-14 07:56:00,0.097,6.1,,,,245.9301,<0.5,259.0,254.6,0.088,<0.5,0.374,0.013,0.004,8.3,8.18,10.7,10.75,101.4429,85.11,10.73,10.658
2014-08-11 07:59:00,0.076,5.9,,,,314.1024,0.8,256.0,234.32,0.775,0.86,0.35,0.012,0.003,8.4,8.389,10.6,10.38,100.6477,1203.87,11.86,11.822
2014-09-23 06:21:00,0.066,9.0,,,,124.6282,0.6,285.0,297.02,0.047,0.59,0.463,0.015,0.003,8.2,8.14,10.9,10.88,100.3519,53.18,9.78,9.698
2014-10-20 08:17:00,0.112,15.6,,,,99.6465,<0.5,389.0,387.0,0.026,0.81,0.658,0.022,0.008,8.1,8.06,10.9,10.997,100.8766,23.66,9.47,9.47
2014-11-17 11:19:00,0.134,11.7,,,,133.4423,1.5,360.0,361.1,0.032,1.18,0.605,0.013,0.009,8.2,8.19,11.7,11.689,100.5751,22.45,6.92,6.87
2014-12-15 08:44:00,0.081,10.7,,,,96.487,<0.5,329.0,328.28,0.014,0.66,0.522,0.015,0.005,8.1,8.05,12.1,12.044,101.0619,12.83,5.89,5.88
2015-01-12 08:48:00,0.146,19.7,,,,90.2528,0.8,433.0,432.56,0.025,0.94,0.726,0.014,0.007,8.2,8.14,12.3,12.278,100.7214,15.07,5.01,5.0
