date,NH4_N,Cl,q_max_kanton,q_min_kanton,q_mean_kanton,q_mean_sensor,doc,ec25_lab,ec25_sensor,tp,tn,NO3_N,NO2_N,drp,pH_lab,pH_sensor,O2_lab,O2_sensor,O2S_sensor,turbidity_sensor,temp_lab,temp_sensor
2011-01-10 12:30:00,0.083,13.0,616.76,452.05,539.64,552.7218,1.9,406.0,,0.074,,1.87,0.014,0.028,8.0,,,,,,6.7,5.8
2011-02-15 13:00:00,0.059,13.6,295.26,260.44,275.06,241.4467,1.9,408.0,,0.024,,1.9,0.012,0.013,8.1,,,,,,7.4,5.7
2011-03-16 13:25:00,0.06,13.4,328.52,200.53,260.7,205.5664,1.9,410.0,,0.022,,1.87,0.017,0.007,8.2,,,,,,9.6,7.8
2011-04-28 12:45:00,0.061,11.5,299.07,247.08,274.83,271.5763,1.8,367.0,,0.03,,1.46,0.018,0.017,8.1,,,,,,16.1,14.3
2011-05-13 13:45:00,0.087,11.8,369.1,302.88,328.29,290.7314,1.8,357.0,,0.045,,1.36,0.03,0.029,8.0,,,,,,19.1,17.5
2011-06-18 09:50:00,0.065,8.7,716.66,507.1,579.41,489.8677,1.7,321.0,,0.045,,1.07,0.016,0.021,8.1,,,,,,19.8,19.2
2011-07-17 12:20:00,0.02,5.3,807.58,670.33,716.66,683.2161,1.5,297.0,,0.029,,0.76,0.011,0.01,8.2,,,,,,20.8,20.0
2011-08-22 13:55:00,0.027,7.5,458.95,400.1,429.51,415.6875,1.7,297.0,,0.023,,0.85,0.009,0.011,8.2,,,,,,24.4,23.1
2011-09-20 13:45:00,0.049,7.1,510.44,468.55,490.31,473.5839,1.9,306.0,,0.04,,0.99,0.018,0.023,8.2,,,,,,18.5,17.6
2011-10-19 13:25:00,0.034,6.4,611.71,525.73,558.29,513.9264,1.5,305.0,,0.02,,0.85,0.011,0.008,8.1,,,,,,14.8,14.2
2011-11-17 12:55:00,0.081,11.4,254.96,219.17,237.0,212.6266,1.7,362.0,,0.027,,1.48,0.035,0.015,8.0,,,,,,11.7,9.6
2011-12-16 13:30:00,0.089,10.3,861.09,422.07,612.28,623.4563,2.1,375.0,,0.057,,1.62,0.029,0.024,8.1,,,,,,8.6,7.4
