date,NH4_N,Cl,q_max_kanton,q_min_kanton,q_mean_kanton,q_mean_sensor,doc,ec25_lab,ec25_sensor,tp,tn,NO3_N,NO2_N,drp,pH_lab,pH_sensor,O2_lab,O2_sensor,O2S_sensor,turbidity_sensor,temp_lab,temp_sensor
2014-03-18 12:00:00,0.041,3.5,,,13.3,14.8457,0.8,143.0,,0.012,,0.33,<0.015,<0.008,7.6,,11.8,,,,3.8,4.52
2014-04-28 12:00:00,0.081,<2.0,,,19.8,22.9691,1.8,155.0,,0.047,,0.41,<0.015,<0.008,7.8,,10.6,,,,5.6,3.5
2014-05-26 12:00:00,<0.01,2.3,,,22.8,24.5262,1.1,145.0,,0.016,,0.44,<0.015,<0.008,7.6,,10.4,,,,7.0,6.2
2014-06-11 12:00:00,0.034,<2.0,,,31.3,35.1517,0.9,198.0,,0.092,,0.33,<0.015,<0.008,8.0,,10.3,,,,7.8,8.58
2014-07-09 12:00:00,<0.01,<2.0,,,24.4,22.3291,0.9,127.0,,0.035,,0.3,<0.015,<0.008,8.0,,10.3,,,,8.2,7.51
2014-08-12 12:00:00,0.063,<2.0,,,27.7,22.8641,0.7,123.0,,0.02,,0.21,<0.015,<0.008,7.8,,9.9,,,,9.9,8.86
2014-09-25 12:00:00,0.075,<2.0,,,11.8,15.1837,0.7,128.0,,<0.008,,0.28,<0.015,<0.008,7.8,,10.5,,,,8.7,8.06
2014-10-24 12:00:00,0.012,<2.0,,,11.5,14.3187,1,212.0,,<0.008,,0.29,<0.015,<0.008,7.9,,10.9,,,,7.2,6.03
2014-11-25 12:00:00,0.036,2,,,16.9,26.4003,0.7,143.0,,0.027,,0.37,<0.015,<0.008,7.7,,11.3,,,,6.0,5.66
2014-12-17 12:00:00,0.093,5.9,,,17.0,15.9788,1,290.0,,0.017,,0.61,<0.015,<0.008,7.9,,11.2,,,,4.3,4.05
2015-01-20 12:00:00,0.053,<2.0,,,16.1,28.2034,0.6,89.0,,0.028,,0.28,<0.015,<0.008,7.5,,11.5,,,,3.9,3.2
2015-02-26 12:00:00,0.093,<2.0,,,17.1,23.4211,0.5,110.0,,0.01,,0.27,<0.015,<0.008,7.8,,11.9,,,,3.8,2.84
2015-03-31 12:00:00,0.219,16.1,,,6.7,5.5133,2.1,252.0,,0.05,,0.65,0.016,<0.008,7.9,,10.2,,,,6.6,6.18
2015-04-21 12:00:00,0.058,3.7,,,9.7,9.9845,1.2,162.0,,0.023,,0.67,<0.015,<0.008,7.6,,10.7,,,,5.7,7.48
2015-05-28 12:00:00,0.027,3.3,,,20.2,26.2043,0.9,140.0,,0.017,,0.42,<0.015,<0.008,7.9,,10.6,,,,6.7,7.05
2015-06-16 12:00:00,0.043,<2.0,,,39.3,35.8417,1.1,119.0,,0.038,,0.31,<0.015,<0.008,7.6,,10.1,,,,8.8,8.74
2015-07-24 12:00:00,0.026,<2.0,,,52.5,41.133,1,75.0,,0.114,,0.35,<0.015,<0.008,7.8,,9.5,,,,11.6,10.01
2015-08-24 12:00:00,0.043,<2.0,,,24.4,31.7645,0.8,153.0,,0.034,,0.65,<0.015,0.011,7.6,,9.8,,,,9.9,10.36
2015-09-23 12:00:00,0.054,<2.0,,,16.1,29.7534,0.7,117.0,,0.062,,0.3,<0.015,<0.008,7.7,,9.9,,,,9.9,8.96
2015-10-20 12:00:00,0.047,2.4,,,15.9,16.6378,<0.4,270.0,,0.036,,0.41,<0.015,0.015,8.0,,10.6,,,,7.9,7.0
2015-11-23 12:00:00,0.023,<2.0,,,12.3,16.8478,<0.4,124.0,,0.04,,0.72,<0.015,0.011,7.8,,11.6,,,,5.1,4.46
2015-12-15 12:00:00,0.033,<2.0,,,12.4,13.4676,0.6,111.0,,0.009,,0.47,<0.015,0.009,7.4,,11.6,,,,4.7,4.4
2016-01-13 16:00:00,0.094,4.3,,,8.07,4.1362,0.5,170.0,,0.014,,0.37,<0.015,<0.008,8.0,,12.1,,,,3.6,3.21
2016-02-02 14:28:00,0.082,2.1,,,9.06,12.1994,0.8,116.0,,0.043,,0.32,<0.015,<0.008,7.6,,11.6,,,,5.2,4.044
2016-03-16 15:59:00,0.223,2.8,,,10.4,12.9641,0.6,140.0,,0.017,,0.29,<0.015,<0.008,7.7,,12.1,,,,3.8,3.193
2016-04-05 09:26:00,0.047,6.7,,,12.8,15.0967,1.5,138.0,,0.04,,0.31,<0.015,<0.008,7.8,,11.4,,,,5.4,4.648
2016-05-30 12:30:00,0.04,<2.0,,,23.8,24.1152,1.6,124.0,,0.061,,0.31,<0.015,0.015,7.8,,10.7,,,,7.8,6.92
2016-06-07 12:48:00,0.03,<2.0,,,40.2,34.9569,1,128.0,,0.213,,0.27,<0.015,<0.008,7.9,,10.4,,,,9.1,8.304
2016-07-21 13:47:00,0.063,<2.0,,,30.4,23.1868,<0.4,109.0,,0.02,,0.32,<0.015,<0.008,7.7,,10.1,,,,10.4,9.47
2016-08-10 08:10:00,0.096,<2.0,,,18.1,20.384,0.4,98.0,,0.09,,<0.2,<0.015,<0.008,7.8,,10.8,,,,7.7,7.37
2016-09-08 13:16:00,0.051,<2.0,,,18.1,20.3386,0.6,122.0,,0.018,,0.25,<0.015,0.008,7.7,,10.6,,,,9.1,8.522
2016-10-04 13:50:00,0.022,<2.0,,,10.5,6.7973,1,403.0,,0.014,,0.33,<0.015,<0.008,8.1,,10.9,,,,9.0,8.18
2016-11-21 16:13:00,0.227,6.1,,,5.36,5.6728,0.8,273.0,,0.022,,0.51,<0.015,<0.008,8.1,,11.6,,,,6.1,5.22
2016-12-06 09:27:00,0.06,<2.0,,,12.8,15.0087,0.98,103.0,,0.011,,0.41,<0.015,<0.008,7.5,,11.5,,,,4.7,3.783
2017-01-11 12:00:00,0.103,<2.0,,,13.2,14.2267,0.5,120.0,,<0.008,,0.41,<0.015,<0.008,7.6,,11.6,,,,3.7,3.14
2017-02-27 12:00:00,0.061,<2.0,,,8.42,8.8234,1,109.0,,0.012,,0.61,<0.015,<0.008,7.5,,11.7,,,,4.0,4.68
2017-03-29 12:00:00,0.032,2.4,,,10.5,15.5157,2.4,123.0,,0.012,,0.33,<0.015,<0.008,7.6,,11.8,,,,4.6,5.38
2017-04-11 12:00:00,0.282,4.7,,,8.75,7.3864,1.21,217.0,,0.021,,0.47,0.022,,7.9,,10.7,,,,6.7,6.77
2017-05-11 12:00:00,0.048,<2.0,,,4.91,7.3644,1.1,206.0,,0.035,,0.59,<0.015,<0.008,8.1,,10.6,,,,8.4,8.05
2017-06-07 12:00:00,0.034,<2.0,,,11.1,11.5836,0.8,162.0,,0.017,,0.59,<0.015,<0.008,7.6,,10.7,,,,9.3,7.95
2017-07-05 12:00:00,0.033,<2.0,,,28.6,29.2594,0.5,99.0,,0.051,,0.269,<0.015,<0.008,6.8,,10.5,,,,8.7,8.97
2017-08-02 12:00:00,0.047,<2.0,,,63.5,39.6839,<0.4,103.0,,0.212,,<0.2,<0.015,<0.008,7.9,,10.2,,,,10.8,7.86
2017-09-14 12:00:00,0.116,<2.0,,,10.0,6.6133,0.6,169.0,,0.04,,0.243,<0.015,<0.008,7.3,,11.4,,,,5.6,8.14
2017-10-12 12:00:00,0.076,<2.0,,,7.32,5.2273,0.6,159.0,,<0.008,,0.45,<0.015,<0.008,7.3,,10.8,,,,8.0,7.6
2017-11-28 12:00:00,0.031,<2.0,,,18.2,23.8561,<0.4,99.0,,0.011,,0.278,<0.015,<0.008,7.1,,11.7,,,,4.9,5.32
2017-12-20 12:00:00,0.052,<2.0,,,13.4,17.0288,<0.4,124.0,,0.021,,0.4,<0.015,<0.008,7.3,,12.4,,,,2.9,3.8
2018-01-30 08:50:00,0.05,2.7,,,15.8,22.9591,0.6,119.0,,<0.008,,0.25,<0.003,<0.008,7.4,,11.9,,,,4.2,3.54
2018-02-20 14:17:00,0.09,3.8,,,10.3,13.213,0.6,188.0,,<0.008,,0.32,<0.003,<0.008,7.1,,12.2,,,,4.0,3.8
2018-03-27 09:07:00,0.09,3.8,,,8.11,9.6145,0.92,212.0,,0.01,,0.43,<0.003,<0.008,7.6,,11.9,,,,4.0,3.85
2018-04-24 10:38:00,0.04,4.8,,,15.4,16.0112,2.23,213.0,,0.02,,0.59,<0.003,<0.008,7.7,,12.0,,,,6.3,6.684
2018-05-23 08:00:00,0.04,<2.0,,,20.4,35.3907,0.99,154.0,,0.015,,0.489,<0.003,<0.008,6.8,,11.3,,,,7.6,5.41
