date,mean winter Secchi depth
1970,14.0
1971,18.52
1972,14.87
1973,16.53
1974,13.86
1975,11.41
1976,15.32
1977,14.6
1978,10.46
1979,15.62
1980,13.76
1981,15.65
1982,10.39
1983,12.26
1985,12.25
1986,10.49
1987,12.5
1988,11.06
1989,15.27
1990,12.52
1991,13.74
1992,10.88
1993,15.14
1994,10.24
1995,10.53
1996,11.99
1997,14.38
2000,12.3
2001,7.51
2002,12.79
2003,11.86
2005,7.88
2006,9.68
2007,8.69
2008,13.48
2009,11.06
2010,10.33
2011,8.66
2012,10.81
2013,10.44
2014,11.58
2015,13.54
2016,9.71
2017,13.85
2018,10.25
2019,13.87
2020,14.32
2021,11.79
