date,mean annual surface temperature
1970,12.22
1971,12.35
1972,11.42
1973,13.31
1974,12.96
1975,13.01
1976,12.85
1977,12.39
1978,12.48
1979,12.01
1980,12.03
1981,12.62
1982,12.97
1983,12.62
1984,12.78
1985,12.77
1986,12.57
1987,12.44
1988,12.78
1989,13.04
1990,13.54
1991,13.08
1992,13.0
1993,13.12
1994,13.36
1995,12.71
1996,12.73
1997,13.22
1998,13.69
1999,14.03
2000,13.56
2001,12.89
2002,13.49
2003,14.22
2004,13.18
2005,13.66
2006,13.63
2008,12.56
2009,15.14
2010,13.07
2011,14.11
2012,13.6
2013,13.32
2014,13.44
2015,15.33
2016,14.24
2017,15.02
2018,15.26
2019,15.06
2020,15.42
2021,14.52
2022,15.74
2023,15.88
