date,mean winter epilimnion 0-10 m oxygen concentration
1970,9.98
1971,10.43
1972,10.3
1973,10.05
1974,10.52
1975,10.71
1976,10.58
1977,10.67
1978,10.33
1979,10.21
1980,10.23
1981,9.98
1982,10.33
1983,10.66
1985,10.04
1986,10.68
1987,10.93
1988,10.61
1989,10.75
1990,10.51
1991,10.44
1992,10.25
1993,10.28
1994,10.57
1995,10.27
1996,10.23
1997,10.07
1999,9.86
2000,10.08
2001,10.39
2002,10.06
2003,10.14
2005,10.38
2006,10.73
2007,10.37
2008,10.62
2009,10.17
2010,10.29
2011,10.57
2012,10.33
2013,10.23
2014,10.56
2015,10.11
2016,9.95
2017,9.79
2018,10.09
2019,10.35
2020,10.06
2021,9.96
2022,10.1
