date,mean annual surface conductivity
1970,265.39
1971,264.15
1972,262.5
1973,261.43
1974,273.93
1975,275.62
1976,268.15
1977,271.1
1978,279.98
1979,285.14
1980,285.73
1981,277.98
1982,269.16
1983,277.75
1984,280.4
1985,275.63
1986,273.77
1987,268.5
1988,267.11
1989,269.58
1990,258.0
1991,268.93
1992,267.89
1993,278.48
1994,278.58
1995,282.55
1996,287.58
1997,288.57
1998,282.46
1999,283.2
2000,275.31
2001,277.78
2002,279.54
2003,277.71
2004,289.05
2005,285.78
2006,288.23
2007,276.28
2008,284.72
2009,280.54
2010,290.36
2011,291.79
2012,279.31
2013,290.95
2014,284.99
2015,288.89
2016,289.93
2017,289.68
2018,283.6
2019,286.07
2020,286.96
2021,287.71
2022,291.94
2023,289.98
