date,mean summer epilimnion 0-5 m oxygen concentration
1957,10.33
1958,11.07
1959,11.09
1960,10.74
1961,10.51
1962,11.51
1963,10.77
1964,10.11
1965,10.2
1966,11.2
1967,11.26
1968,10.25
1969,10.62
1970,10.33
1971,11.02
1972,10.81
1973,10.37
1974,10.27
1975,13.57
1976,10.68
1977,10.77
1978,12.38
1979,11.65
1980,11.0
1981,12.37
1982,11.38
1983,11.93
1984,10.55
1985,11.93
1986,11.29
1987,11.1
1988,10.45
1989,10.69
1990,10.59
1991,11.36
1992,10.99
1993,11.93
1994,13.08
1995,11.06
1996,12.12
1997,11.01
1998,10.39
1999,11.12
2000,10.41
2001,10.3
2002,10.79
2003,10.69
2004,11.0
2005,10.79
2006,12.98
2007,11.03
2008,10.55
2009,11.67
2010,10.72
2011,10.37
2012,10.92
2013,10.32
2014,10.95
2015,9.81
2016,10.19
2017,9.66
2018,10.67
2019,10.98
2020,9.82
2021,9.97
2022,9.8
2023,10.09
