date,mean summer bottom oxygen concentration
1957,7.86
1958,6.53
1959,5.55
1960,5.57
1961,4.57
1962,5.67
1963,9.0
1964,7.9
1965,7.42
1966,7.04
1967,6.56
1968,4.02
1969,2.63
1970,6.94
1971,7.06
1972,5.79
1973,3.73
1974,3.1
1975,2.83
1976,1.47
1977,0.84
1978,2.25
1979,5.58
1980,5.81
1981,8.21
1982,5.75
1983,4.9
1984,7.49
1985,7.9
1986,7.75
1987,5.74
1988,4.35
1989,4.02
1990,3.36
1991,3.12
1992,2.4
1993,2.05
1994,2.32
1995,1.99
1996,1.67
1997,2.16
1998,2.52
1999,5.83
2000,5.8
2001,4.32
2002,3.58
2003,5.07
2004,4.82
2005,8.5
2006,8.44
2007,5.71
2008,4.55
2009,4.86
2010,5.83
2011,4.14
2012,8.74
2013,6.44
2014,5.08
2015,4.7
2016,3.64
2017,3.07
2018,3.53
2019,3.58
2020,3.19
2021,2.73
2022,2.57
2023,2.63
