date,mean summer epilimnion 5-10 m oxygen concentration
1957,10.1
1958,11.89
1959,10.92
1960,10.73
1961,10.28
1962,11.69
1963,10.63
1964,10.27
1965,10.41
1966,10.47
1967,11.46
1968,10.09
1969,9.67
1970,10.92
1971,8.33
1972,9.7
1973,10.26
1974,9.52
1975,10.52
1976,8.2
1977,9.11
1978,10.43
1979,9.87
1980,10.18
1981,10.6
1982,9.98
1983,11.42
1984,10.35
1985,10.26
1986,10.41
1987,10.1
1988,9.92
1989,10.07
1990,9.62
1991,11.97
1992,9.98
1993,10.11
1994,10.53
1995,10.97
1996,9.94
1997,10.43
1998,11.07
1999,10.68
2000,10.24
2001,10.07
2002,9.36
2003,10.1
2004,11.43
2005,12.23
2006,10.4
2007,10.66
2008,11.03
2009,11.38
2010,12.02
2011,10.39
2012,10.35
2013,10.77
2014,11.1
2015,12.2
2016,11.1
2017,10.37
2018,10.8
2019,11.35
2020,10.99
2021,9.81
2022,11.37
2023,11.17
