date,mean annual hypolimnetic density
1970,1000.1412
1971,1000.1461
1972,1000.1222
1973,1000.1329
1974,1000.1292
1975,1000.126
1976,1000.131
1977,1000.1234
1978,1000.1307
1979,1000.1238
1980,1000.1203
1981,1000.1375
1982,1000.124
1983,1000.129
1984,1000.1376
1985,1000.1457
1986,1000.1441
1987,1000.1459
1988,1000.1379
1989,1000.1282
1990,1000.1202
1991,1000.1319
1992,1000.1335
1993,1000.1384
1994,1000.1285
1995,1000.1196
1996,1000.13
1997,1000.1242
1998,1000.1087
1999,1000.1323
2000,1000.1232
2001,1000.1183
2002,1000.1268
2003,1000.13
2004,1000.1229
2005,1000.1392
2006,1000.1468
2008,1000.1296
2009,1000.1313
2010,1000.1346
2011,1000.1457
2012,1000.1345
2013,1000.1367
2014,1000.1243
2015,1000.1332
2016,1000.1246
2017,1000.1272
2018,1000.1335
2019,1000.1122
2020,1000.1082
2021,1000.102
2022,1000.1144
2023,1000.103
