date,mean late autumn Schmidt stability
1970,10507.41
1971,7185.91
1972,8934.96
1973,6034.65
1974,7113.3
1975,9769.72
1976,7215.11
1977,11385.93
1978,6190.76
1979,12510.19
1980,7418.13
1981,8223.63
1982,10583.39
1983,6113.48
1984,9731.49
1985,6568.42
1986,10566.95
1987,10502.87
1988,7520.76
1989,11674.44
1990,11219.59
1991,9138.47
1992,8515.79
1993,4063.73
1994,12735.33
1995,9184.09
1996,13300.98
1997,8077.3
1998,11301.65
1999,6253.34
2000,11983.79
2001,10842.54
2002,11438.89
2003,6855.19
2004,11699.15
2005,9999.83
2006,13581.29
2008,11788.52
2009,14047.5
2010,11631.91
2011,7554.85
2012,13756.53
2013,13712.89
2014,15968.69
2016,10715.17
2017,12842.02
2018,10340.28
2019,15757.12
2020,13751.66
2021,11564.63
2022,14563.39
2023,17247.54
