date,mean winter hypolimnetic density
1970,1000.1439
1971,1000.1488
1972,1000.1358
1973,1000.1439
1974,1000.1325
1975,1000.1356
1976,1000.1261
1977,1000.1359
1978,1000.1286
1979,1000.1398
1980,1000.1228
1981,1000.1412
1982,1000.1454
1983,1000.1151
1985,1000.1485
1986,1000.1501
1987,1000.1565
1988,1000.1363
1989,1000.1421
1990,1000.1336
1991,1000.1257
1992,1000.1412
1994,1000.1319
1995,1000.1242
1996,1000.1264
1997,1000.1356
2000,1000.1298
2001,1000.1299
2002,1000.1317
2003,1000.1258
2005,1000.1285
2006,1000.1502
2007,1000.128
2008,1000.1343
2009,1000.1352
2010,1000.144
2011,1000.1488
2012,1000.1349
2013,1000.1373
2014,1000.1285
2015,1000.1241
2016,1000.1206
2017,1000.1356
2018,1000.1214
2019,1000.1237
2020,1000.1108
2021,1000.104
2022,1000.1104
