date,mean summer surface temperature
1957,18.81
1958,21.13
1959,21.71
1960,19.78
1961,19.38
1962,18.29
1963,23.16
1964,23.46
1965,19.58
1966,21.22
1967,20.12
1968,18.22
1969,20.25
1970,18.3
1971,20.4
1972,19.11
1973,21.35
1974,20.69
1975,22.24
1976,21.63
1977,20.21
1978,20.22
1979,16.89
1980,17.55
1981,18.48
1982,20.76
1983,21.86
1984,18.53
1985,21.0
1986,18.86
1987,18.48
1988,20.23
1989,20.73
1990,20.43
1991,21.89
1993,21.16
1994,23.63
1995,21.86
1996,20.3
1997,18.91
1998,22.15
1999,21.62
2000,18.9
2001,20.24
2002,21.9
2003,22.33
2004,19.84
2005,22.55
2006,22.53
2007,18.58
2008,18.71
2009,21.94
2010,21.74
2011,19.58
2012,20.61
2013,21.14
2014,21.45
2015,23.7
2016,21.94
2017,23.51
2018,23.38
2019,23.81
2020,22.85
2021,21.03
2022,24.53
2023,23.64
