date,mean annual Secchi depth
1970,8.35
1971,8.55
1972,8.05
1973,8.87
1974,8.39
1975,7.09
1976,7.95
1977,7.53
1978,7.18
1979,10.09
1980,8.6
1981,7.52
1982,7.27
1983,8.07
1984,7.08
1985,7.96
1986,7.39
1987,7.65
1988,7.2
1989,9.86
1990,7.66
1991,7.16
1992,6.51
1993,7.74
1994,6.93
1995,7.29
1996,6.87
1997,7.73
1998,6.84
2000,7.41
2001,6.45
2002,6.29
2003,6.35
2004,6.88
2005,6.07
2006,7.25
2007,6.13
2008,7.81
2009,7.0
2010,6.81
2011,6.67
2012,6.22
2013,7.43
2014,7.46
2015,8.03
2016,7.15
2017,8.17
2018,6.95
2019,7.85
2020,7.71
2021,7.01
2023,7.1
